,Mpio,Id,Pr,N,P,S,Ca,Mg,K,Fe,Mn,Cu,Zn,B,N:P,N:K,N:Mg,N:S,P:N,P:K,P:Mg,P:S,K:N,K:P,K:Mg,K:S,Mg:N,Mg:P,Mg:K,Mg:S,S:N,S:P,S:K,S:Mg,Ca:Fe,Ca:Mn,Ca:Cu,Ca:Zn,Ca:B,Fe:Ca,Fe:Mn,Fe:Cu,Fe:Zn,Fe:B,Mn:Ca,Mn:Fe,Mn:Cu,Mn:Zn,Mn:B,Cu:Ca,Cu:Fe,Cu:Mn,Cu:Zn,Cu:B,Zn:Ca,Zn:Fe,Zn:Mn,Zn:Cu,Zn:B,B:Ca,B:Fe,B:Mn,B:Cu,B:Zn,N:Ca,N:Fe,N:Mn,N:Cu,N:Zn,N:B,P:Ca,P:Fe,P:Mn,P:Cu,P:Zn,P:B,K:Ca,K:Fe,K:Mn,K:Cu,K:Zn,K:B,Mg:Ca,Mg:Fe,Mg:Mn,Mg:Cu,Mg:Zn,Mg:B,S:Ca,S:Fe,S:Mn,S:Cu,S:Zn,S:B
0,Arboletes,112,7.28,2.68,0.24,0.1,0.99,0.39,4.16,102,189,7,19,35,11.167,0.644,6.872,26.8,0.09,0.058,0.615,2.4,1.552,17.333,10.667,41.6,0.146,1.625,0.094,3.9,0.037,0.417,0.024,0.256,0.01,0.005,0.141,0.052,0.028,103.03,0.54,14.571,5.368,2.914,190.909,1.853,27.0,9.947,5.4,7.071,0.069,0.037,0.368,0.2,19.192,0.186,0.101,2.714,0.543,35.354,0.343,0.185,5.0,1.842,2.653,273.36,506.52,18.76,50.92,93.8,0.238,24.48,45.36,1.68,4.56,8.4,4.118,424.32,786.24,29.12,79.04,145.6,0.386,39.78,73.71,2.73,7.41,13.65,0.099,10.2,18.9,0.7,1.9,3.5
1,Arboletes,113,13.18,2.9,0.24,0.16,0.66,0.41,3.32,92,206,9,18,18,12.083,0.873,7.073,18.125,0.083,0.072,0.585,1.5,1.145,13.833,8.098,20.75,0.141,1.708,0.123,2.562,0.055,0.667,0.048,0.39,0.007,0.003,0.073,0.037,0.037,139.394,0.447,10.222,5.111,5.111,312.121,2.239,22.889,11.444,11.444,13.636,0.098,0.044,0.5,0.5,27.273,0.196,0.087,2.0,1.0,27.273,0.196,0.087,2.0,1.0,1.914,266.8,597.4,26.1,52.2,52.2,0.158,22.08,49.44,2.16,4.32,4.32,2.191,305.44,683.92,29.88,59.76,59.76,0.271,37.72,84.46,3.69,7.38,7.38,0.106,14.72,32.96,1.44,2.88,2.88
2,Arboletes,114,9.49,2.62,0.23,0.18,0.7,0.42,3.73,82,143,9,19,38,11.391,0.702,6.238,14.556,0.088,0.062,0.548,1.278,1.424,16.217,8.881,20.722,0.16,1.826,0.113,2.333,0.069,0.783,0.048,0.429,0.009,0.005,0.078,0.037,0.018,117.143,0.573,9.111,4.316,2.158,204.286,1.744,15.889,7.526,3.763,12.857,0.11,0.063,0.474,0.237,27.143,0.232,0.133,2.111,0.5,54.286,0.463,0.266,4.222,2.0,1.834,214.84,374.66,23.58,49.78,99.56,0.161,18.86,32.89,2.07,4.37,8.74,2.611,305.86,533.39,33.57,70.87,141.74,0.294,34.44,60.06,3.78,7.98,15.96,0.126,14.76,25.74,1.62,3.42,6.84
3,Mutatá,121,5.49,2.55,0.16,0.16,0.51,0.38,3.66,78,496,7,21,34,15.937,0.697,6.711,15.937,0.063,0.044,0.421,1.0,1.435,22.875,9.632,22.875,0.149,2.375,0.104,2.375,0.063,1.0,0.044,0.421,0.007,0.001,0.073,0.024,0.015,152.941,0.157,11.143,3.714,2.294,972.549,6.359,70.857,23.619,14.588,13.725,0.09,0.014,0.333,0.206,41.176,0.269,0.042,3.0,0.618,66.667,0.436,0.069,4.857,1.619,1.3,198.9,1264.8,17.85,53.55,86.7,0.082,12.48,79.36,1.12,3.36,5.44,1.867,285.48,1815.36,25.62,76.86,124.44,0.194,29.64,188.48,2.66,7.98,12.92,0.082,12.48,79.36,1.12,3.36,5.44
4,Mutatá,122,5.08,2.22,0.2,0.13,0.62,0.38,3.39,89,410,8,18,23,11.1,0.655,5.842,17.077,0.09,0.059,0.526,1.538,1.527,16.95,8.921,26.077,0.171,1.9,0.112,2.923,0.059,0.65,0.038,0.342,0.007,0.002,0.078,0.034,0.027,143.548,0.217,11.125,4.944,3.87,661.29,4.607,51.25,22.778,17.826,12.903,0.09,0.02,0.444,0.348,29.032,0.202,0.044,2.25,0.783,37.097,0.258,0.056,2.875,1.278,1.376,197.58,910.2,17.76,39.96,51.06,0.124,17.8,82.0,1.6,3.6,4.6,2.102,301.71,1389.9,27.12,61.02,77.97,0.236,33.82,155.8,3.04,6.84,8.74,0.081,11.57,53.3,1.04,2.34,2.99
5,Mutatá,123,9.0,3.12,0.22,0.14,0.82,0.39,3.15,96,222,10,17,21,14.182,0.99,8.0,22.286,0.071,0.07,0.564,1.571,1.01,14.318,8.077,22.5,0.125,1.773,0.124,2.786,0.045,0.636,0.044,0.359,0.009,0.004,0.082,0.048,0.039,117.073,0.432,9.6,5.647,4.571,270.732,2.312,22.2,13.059,10.571,12.195,0.104,0.045,0.588,0.476,20.732,0.177,0.077,1.7,0.81,25.61,0.219,0.095,2.1,1.235,2.558,299.52,692.64,31.2,53.04,65.52,0.18,21.12,48.84,2.2,3.74,4.62,2.583,302.4,699.3,31.5,53.55,66.15,0.32,37.44,86.58,3.9,6.63,8.19,0.115,13.44,31.08,1.4,2.38,2.94
6,Mutatá,124,8.06,3.37,0.17,0.15,0.86,0.42,2.98,81,258,9,16,23,19.824,1.131,8.024,22.467,0.05,0.057,0.405,1.133,0.884,17.529,7.095,19.867,0.125,2.471,0.141,2.8,0.045,0.882,0.05,0.357,0.011,0.003,0.096,0.054,0.037,94.186,0.314,9.0,5.062,3.522,300.0,3.185,28.667,16.125,11.217,10.465,0.111,0.035,0.562,0.391,18.605,0.198,0.062,1.778,0.696,26.744,0.284,0.089,2.556,1.438,2.898,272.97,869.46,30.33,53.92,77.51,0.146,13.77,43.86,1.53,2.72,3.91,2.563,241.38,768.84,26.82,47.68,68.54,0.361,34.02,108.36,3.78,6.72,9.66,0.129,12.15,38.7,1.35,2.4,3.45
7,Necoclí,131,13.09,2.97,0.17,0.06,0.88,0.34,3.3,137,324,7,16,25,17.471,0.9,8.735,49.5,0.057,0.052,0.5,2.833,1.111,19.412,9.706,55.0,0.114,2.0,0.103,5.667,0.02,0.353,0.018,0.176,0.006,0.003,0.126,0.055,0.035,155.682,0.423,19.571,8.562,5.48,368.182,2.365,46.286,20.25,12.96,7.955,0.051,0.022,0.438,0.28,18.182,0.117,0.049,2.286,0.64,28.409,0.182,0.077,3.571,1.562,2.614,406.89,962.28,20.79,47.52,74.25,0.15,23.29,55.08,1.19,2.72,4.25,2.904,452.1,1069.2,23.1,52.8,82.5,0.299,46.58,110.16,2.38,5.44,8.5,0.053,8.22,19.44,0.42,0.96,1.5
8,Necoclí,132,7.75,3.31,0.19,0.12,0.87,0.36,3.69,94,428,8,17,39,17.421,0.897,9.194,27.583,0.057,0.051,0.528,1.583,1.115,19.421,10.25,30.75,0.109,1.895,0.098,3.0,0.036,0.632,0.033,0.333,0.009,0.002,0.109,0.051,0.022,108.046,0.22,11.75,5.529,2.41,491.954,4.553,53.5,25.176,10.974,9.195,0.085,0.019,0.471,0.205,19.54,0.181,0.04,2.125,0.436,44.828,0.415,0.091,4.875,2.294,2.88,311.14,1416.68,26.48,56.27,129.09,0.165,17.86,81.32,1.52,3.23,7.41,3.21,346.86,1579.32,29.52,62.73,143.91,0.313,33.84,154.08,2.88,6.12,14.04,0.104,11.28,51.36,0.96,2.04,4.68
9,Necoclí,133,7.23,3.57,0.17,0.1,0.71,0.33,4.21,88,509,6,19,26,21.0,0.848,10.818,35.7,0.048,0.04,0.515,1.7,1.179,24.765,12.758,42.1,0.092,1.941,0.078,3.3,0.028,0.588,0.024,0.303,0.008,0.001,0.118,0.037,0.027,123.944,0.173,14.667,4.632,3.385,716.901,5.784,84.833,26.789,19.577,8.451,0.068,0.012,0.316,0.231,26.761,0.216,0.037,3.167,0.731,36.62,0.295,0.051,4.333,1.368,2.535,314.16,1817.13,21.42,67.83,92.82,0.121,14.96,86.53,1.02,3.23,4.42,2.989,370.48,2142.89,25.26,79.99,109.46,0.234,29.04,167.97,1.98,6.27,8.58,0.071,8.8,50.9,0.6,1.9,2.6
10,Necoclí,134,7.25,3.07,0.17,0.09,1.0,0.39,3.72,231,326,9,20,23,18.059,0.825,7.872,34.111,0.055,0.046,0.436,1.889,1.212,21.882,9.538,41.333,0.127,2.294,0.105,4.333,0.029,0.529,0.024,0.231,0.004,0.003,0.111,0.05,0.043,231.0,0.709,25.667,11.55,10.043,326.0,1.411,36.222,16.3,14.174,9.0,0.039,0.028,0.45,0.391,20.0,0.087,0.061,2.222,0.87,23.0,0.1,0.071,2.556,1.15,3.07,709.17,1000.82,27.63,61.4,70.61,0.17,39.27,55.42,1.53,3.4,3.91,3.72,859.32,1212.72,33.48,74.4,85.56,0.39,90.09,127.14,3.51,7.8,8.97,0.09,20.79,29.34,0.81,1.8,2.07
11,Necoclí,135,9.87,2.88,0.17,0.09,0.72,0.35,4.02,75,254,6,18,30,16.941,0.716,8.229,32.0,0.059,0.042,0.486,1.889,1.396,23.647,11.486,44.667,0.122,2.059,0.087,3.889,0.031,0.529,0.022,0.257,0.01,0.003,0.12,0.04,0.024,104.167,0.295,12.5,4.167,2.5,352.778,3.387,42.333,14.111,8.467,8.333,0.08,0.024,0.333,0.2,25.0,0.24,0.071,3.0,0.6,41.667,0.4,0.118,5.0,1.667,2.074,216.0,731.52,17.28,51.84,86.4,0.122,12.75,43.18,1.02,3.06,5.1,2.894,301.5,1021.08,24.12,72.36,120.6,0.252,26.25,88.9,2.1,6.3,10.5,0.065,6.75,22.86,0.54,1.62,2.7
12,San Juan,141,15.38,2.7,0.2,0.14,0.94,0.29,3.72,58,134,7,17,25,13.5,0.726,9.31,19.286,0.074,0.054,0.69,1.429,1.378,18.6,12.828,26.571,0.107,1.45,0.078,2.071,0.052,0.7,0.038,0.483,0.016,0.007,0.134,0.055,0.038,61.702,0.433,8.286,3.412,2.32,142.553,2.31,19.143,7.882,5.36,7.447,0.121,0.052,0.412,0.28,18.085,0.293,0.127,2.429,0.68,26.596,0.431,0.187,3.571,1.471,2.538,156.6,361.8,18.9,45.9,67.5,0.188,11.6,26.8,1.4,3.4,5.0,3.497,215.76,498.48,26.04,63.24,93.0,0.273,16.82,38.86,2.03,4.93,7.25,0.132,8.12,18.76,0.98,2.38,3.5
13,San Juan,142,10.8,2.34,0.15,0.07,0.99,0.4,2.92,127,457,5,16,21,15.6,0.801,5.85,33.429,0.064,0.051,0.375,2.143,1.248,19.467,7.3,41.714,0.171,2.667,0.137,5.714,0.03,0.467,0.024,0.175,0.008,0.002,0.198,0.062,0.047,128.283,0.278,25.4,7.938,6.048,461.616,3.598,91.4,28.562,21.762,5.051,0.039,0.011,0.312,0.238,16.162,0.126,0.035,3.2,0.762,21.212,0.165,0.046,4.2,1.312,2.317,297.18,1069.38,11.7,37.44,49.14,0.148,19.05,68.55,0.75,2.4,3.15,2.891,370.84,1334.44,14.6,46.72,61.32,0.396,50.8,182.8,2.0,6.4,8.4,0.069,8.89,31.99,0.35,1.12,1.47
14,San Juan,143,15.73,3.27,0.19,0.07,1.02,0.26,3.56,81,450,6,17,35,17.211,0.919,12.577,46.714,0.058,0.053,0.731,2.714,1.089,18.737,13.692,50.857,0.08,1.368,0.073,3.714,0.021,0.368,0.02,0.269,0.013,0.002,0.17,0.06,0.029,79.412,0.18,13.5,4.765,2.314,441.176,5.556,75.0,26.471,12.857,5.882,0.074,0.013,0.353,0.171,16.667,0.21,0.038,2.833,0.486,34.314,0.432,0.078,5.833,2.059,3.335,264.87,1471.5,19.62,55.59,114.45,0.194,15.39,85.5,1.14,3.23,6.65,3.631,288.36,1602.0,21.36,60.52,124.6,0.265,21.06,117.0,1.56,4.42,9.1,0.071,5.67,31.5,0.42,1.19,2.45
15,San Juan,144,11.22,2.54,0.16,0.07,1.33,0.3,3.22,64,274,5,16,33,15.875,0.789,8.467,36.286,0.063,0.05,0.533,2.286,1.268,20.125,10.733,46.0,0.118,1.875,0.093,4.286,0.028,0.438,0.022,0.233,0.021,0.005,0.266,0.083,0.04,48.12,0.234,12.8,4.0,1.939,206.015,4.281,54.8,17.125,8.303,3.759,0.078,0.018,0.312,0.152,12.03,0.25,0.058,3.2,0.485,24.812,0.516,0.12,6.6,2.062,3.378,162.56,695.96,12.7,40.64,83.82,0.213,10.24,43.84,0.8,2.56,5.28,4.283,206.08,882.28,16.1,51.52,106.26,0.399,19.2,82.2,1.5,4.8,9.9,0.093,4.48,19.18,0.35,1.12,2.31
16,San Juan,145,10.94,2.68,0.13,0.06,0.95,0.46,2.65,81,864,6,15,17,20.615,1.011,5.826,44.667,0.049,0.049,0.283,2.167,0.989,20.385,5.761,44.167,0.172,3.538,0.174,7.667,0.022,0.462,0.023,0.13,0.012,0.001,0.158,0.063,0.056,85.263,0.094,13.5,5.4,4.765,909.474,10.667,144.0,57.6,50.824,6.316,0.074,0.007,0.4,0.353,15.789,0.185,0.017,2.5,0.882,17.895,0.21,0.02,2.833,1.133,2.546,217.08,2315.52,16.08,40.2,45.56,0.124,10.53,112.32,0.78,1.95,2.21,2.517,214.65,2289.6,15.9,39.75,45.05,0.437,37.26,397.44,2.76,6.9,7.82,0.057,4.86,51.84,0.36,0.9,1.02
17,San Pedro,151,9.31,2.79,0.18,0.13,0.64,0.45,2.89,96,248,10,18,29,15.5,0.965,6.2,21.462,0.065,0.062,0.4,1.385,1.036,16.056,6.422,22.231,0.161,2.5,0.156,3.462,0.047,0.722,0.045,0.289,0.007,0.003,0.064,0.036,0.022,150.0,0.387,9.6,5.333,3.31,387.5,2.583,24.8,13.778,8.552,15.625,0.104,0.04,0.556,0.345,28.125,0.188,0.073,1.8,0.621,45.312,0.302,0.117,2.9,1.611,1.786,267.84,691.92,27.9,50.22,80.91,0.115,17.28,44.64,1.8,3.24,5.22,1.85,277.44,716.72,28.9,52.02,83.81,0.288,43.2,111.6,4.5,8.1,13.05,0.083,12.48,32.24,1.3,2.34,3.77
18,San Pedro,153,11.35,2.97,0.2,0.18,0.84,0.44,3.69,114,279,10,21,28,14.85,0.805,6.75,16.5,0.067,0.054,0.455,1.111,1.242,18.45,8.386,20.5,0.148,2.2,0.119,2.444,0.061,0.9,0.049,0.409,0.007,0.003,0.084,0.04,0.03,135.714,0.409,11.4,5.429,4.071,332.143,2.447,27.9,13.286,9.964,11.905,0.088,0.036,0.476,0.357,25.0,0.184,0.075,2.1,0.75,33.333,0.246,0.1,2.8,1.333,2.495,338.58,828.63,29.7,62.37,83.16,0.168,22.8,55.8,2.0,4.2,5.6,3.1,420.66,1029.51,36.9,77.49,103.32,0.37,50.16,122.76,4.4,9.24,12.32,0.151,20.52,50.22,1.8,3.78,5.04
19,San Pedro,154,11.7,3.72,0.19,0.13,0.79,0.43,3.11,86,197,10,18,32,19.579,1.196,8.651,28.615,0.051,0.061,0.442,1.462,0.836,16.368,7.233,23.923,0.116,2.263,0.138,3.308,0.035,0.684,0.042,0.302,0.009,0.004,0.079,0.044,0.025,108.861,0.437,8.6,4.778,2.688,249.367,2.291,19.7,10.944,6.156,12.658,0.116,0.051,0.556,0.312,22.785,0.209,0.091,1.8,0.562,40.506,0.372,0.162,3.2,1.778,2.939,319.92,732.84,37.2,66.96,119.04,0.15,16.34,37.43,1.9,3.42,6.08,2.457,267.46,612.67,31.1,55.98,99.52,0.34,36.98,84.71,4.3,7.74,13.76,0.103,11.18,25.61,1.3,2.34,4.16
20,Turbo,161,11.2,2.76,0.16,0.13,0.7,0.37,2.94,72,260,8,23,12,17.25,0.939,7.459,21.231,0.058,0.054,0.432,1.231,1.065,18.375,7.946,22.615,0.134,2.312,0.126,2.846,0.047,0.812,0.044,0.351,0.01,0.003,0.088,0.03,0.058,102.857,0.277,9.0,3.13,6.0,371.429,3.611,32.5,11.304,21.667,11.429,0.111,0.031,0.348,0.667,32.857,0.319,0.088,2.875,1.917,17.143,0.167,0.046,1.5,0.522,1.932,198.72,717.6,22.08,63.48,33.12,0.112,11.52,41.6,1.28,3.68,1.92,2.058,211.68,764.4,23.52,67.62,35.28,0.259,26.64,96.2,2.96,8.51,4.44,0.091,9.36,33.8,1.04,2.99,1.56
21,Turbo,162,11.62,2.73,0.13,0.13,0.71,0.38,3.1,73,131,11,26,15,21.0,0.881,7.184,21.0,0.048,0.042,0.342,1.0,1.136,23.846,8.158,23.846,0.139,2.923,0.123,2.923,0.048,1.0,0.042,0.342,0.01,0.005,0.065,0.027,0.047,102.817,0.557,6.636,2.808,4.867,184.507,1.795,11.909,5.038,8.733,15.493,0.151,0.084,0.423,0.733,36.62,0.356,0.198,2.364,1.733,21.127,0.205,0.115,1.364,0.577,1.938,199.29,357.63,30.03,70.98,40.95,0.092,9.49,17.03,1.43,3.38,1.95,2.201,226.3,406.1,34.1,80.6,46.5,0.27,27.74,49.78,4.18,9.88,5.7,0.092,9.49,17.03,1.43,3.38,1.95
22,Turbo,163,20.5,2.14,0.13,0.12,0.51,0.29,3.8,78,122,7,27,13,16.462,0.563,7.379,17.833,0.061,0.034,0.448,1.083,1.776,29.231,13.103,31.667,0.136,2.231,0.076,2.417,0.056,0.923,0.032,0.414,0.007,0.004,0.073,0.019,0.039,152.941,0.639,11.143,2.889,6.0,239.216,1.564,17.429,4.519,9.385,13.725,0.09,0.057,0.259,0.538,52.941,0.346,0.221,3.857,2.077,25.49,0.167,0.107,1.857,0.481,1.091,166.92,261.08,14.98,57.78,27.82,0.066,10.14,15.86,0.91,3.51,1.69,1.938,296.4,463.6,26.6,102.6,49.4,0.148,22.62,35.38,2.03,7.83,3.77,0.061,9.36,14.64,0.84,3.24,1.56
23,Turbo,164,9.77,2.61,0.17,0.12,0.73,0.4,3.25,73,105,8,23,12,15.353,0.803,6.525,21.75,0.065,0.052,0.425,1.417,1.245,19.118,8.125,27.083,0.153,2.353,0.123,3.333,0.046,0.706,0.037,0.3,0.01,0.007,0.091,0.032,0.061,100.0,0.695,9.125,3.174,6.083,143.836,1.438,13.125,4.565,8.75,10.959,0.11,0.076,0.348,0.667,31.507,0.315,0.219,2.875,1.917,16.438,0.164,0.114,1.5,0.522,1.905,190.53,274.05,20.88,60.03,31.32,0.124,12.41,17.85,1.36,3.91,2.04,2.372,237.25,341.25,26.0,74.75,39.0,0.292,29.2,42.0,3.2,9.2,4.8,0.088,8.76,12.6,0.96,2.76,1.44
24,Turbo,165,10.54,2.29,0.17,0.17,0.71,0.39,3.41,89,276,9,20,20,13.471,0.672,5.872,13.471,0.074,0.05,0.436,1.0,1.489,20.059,8.744,20.059,0.17,2.294,0.114,2.294,0.074,1.0,0.05,0.436,0.008,0.003,0.079,0.036,0.036,125.352,0.322,9.889,4.45,4.45,388.732,3.101,30.667,13.8,13.8,12.676,0.101,0.033,0.45,0.45,28.169,0.225,0.072,2.222,1.0,28.169,0.225,0.072,2.222,1.0,1.626,203.81,632.04,20.61,45.8,45.8,0.121,15.13,46.92,1.53,3.4,3.4,2.421,303.49,941.16,30.69,68.2,68.2,0.277,34.71,107.64,3.51,7.8,7.8,0.121,15.13,46.92,1.53,3.4,3.4
